,MTU (CET/CEST),Area,Actual Total Load (MW)
0,2024-01-01 00:00:00,BZN|BE,7520.77
1,2024-01-01 00:15:00,BZN|BE,7456.06
2,2024-01-01 00:30:00,BZN|BE,7424.53
3,2024-01-01 00:45:00,BZN|BE,7343.54
4,2024-01-01 01:00:00,BZN|BE,7335.32
5,2024-01-01 01:15:00,BZN|BE,7265.05
6,2024-01-01 01:30:00,BZN|BE,7247.54
7,2024-01-01 01:45:00,BZN|BE,7202.48
8,2024-01-01 02:00:00,BZN|BE,7142.98
9,2024-01-01 02:15:00,BZN|BE,7066.17
10,2024-01-01 02:30:00,BZN|BE,7000.93
11,2024-01-01 02:45:00,BZN|BE,6921.65
12,2024-01-01 03:00:00,BZN|BE,6878.37
13,2024-01-01 03:15:00,BZN|BE,6835.46
14,2024-01-01 03:30:00,BZN|BE,6785.06
15,2024-01-01 03:45:00,BZN|BE,6754.65
16,2024-01-01 04:00:00,BZN|BE,6751.79
17,2024-01-01 04:15:00,BZN|BE,6699.04
18,2024-01-01 04:30:00,BZN|BE,6680.21
19,2024-01-01 04:45:00,BZN|BE,6654.29
20,2024-01-01 05:00:00,BZN|BE,6703.01
21,2024-01-01 05:15:00,BZN|BE,6707.32
22,2024-01-01 05:30:00,BZN|BE,6723.33
23,2024-01-01 05:45:00,BZN|BE,6724.01
24,2024-01-01 06:00:00,BZN|BE,6805.42
25,2024-01-01 06:15:00,BZN|BE,6867.33
26,2024-01-01 06:30:00,BZN|BE,6912.36
27,2024-01-01 06:45:00,BZN|BE,6907.31
28,2024-01-01 07:00:00,BZN|BE,6871.1
29,2024-01-01 07:15:00,BZN|BE,6892.09
30,2024-01-01 07:30:00,BZN|BE,6956.83
31,2024-01-01 07:45:00,BZN|BE,6958.63
32,2024-01-01 08:00:00,BZN|BE,7064.42
33,2024-01-01 08:15:00,BZN|BE,7145.99
34,2024-01-01 08:30:00,BZN|BE,7138.52
35,2024-01-01 08:45:00,BZN|BE,7129.76
36,2024-01-01 09:00:00,BZN|BE,7206.34
37,2024-01-01 09:15:00,BZN|BE,7279.86
38,2024-01-01 09:30:00,BZN|BE,7376.07
39,2024-01-01 09:45:00,BZN|BE,7444.87
40,2024-01-01 10:00:00,BZN|BE,7564.02
41,2024-01-01 10:15:00,BZN|BE,7647.82
42,2024-01-01 10:30:00,BZN|BE,7724.45
43,2024-01-01 10:45:00,BZN|BE,7826.85
44,2024-01-01 11:00:00,BZN|BE,7917.12
45,2024-01-01 11:15:00,BZN|BE,8008.85
46,2024-01-01 11:30:00,BZN|BE,8072.74
47,2024-01-01 11:45:00,BZN|BE,8114.95
48,2024-01-01 12:00:00,BZN|BE,8167.6
49,2024-01-01 12:15:00,BZN|BE,8160.49
50,2024-01-01 12:30:00,BZN|BE,8239.19
51,2024-01-01 12:45:00,BZN|BE,8251.09
52,2024-01-01 13:00:00,BZN|BE,8248.05
53,2024-01-01 13:15:00,BZN|BE,8220.67
54,2024-01-01 13:30:00,BZN|BE,8198.3
55,2024-01-01 13:45:00,BZN|BE,8132.33
56,2024-01-01 14:00:00,BZN|BE,8140.26
57,2024-01-01 14:15:00,BZN|BE,8107.78
58,2024-01-01 14:30:00,BZN|BE,8090.76
59,2024-01-01 14:45:00,BZN|BE,8051.21
60,2024-01-01 15:00:00,BZN|BE,8061.56
61,2024-01-01 15:15:00,BZN|BE,8071.0
62,2024-01-01 15:30:00,BZN|BE,8054.76
63,2024-01-01 15:45:00,BZN|BE,7991.14
64,2024-01-01 16:00:00,BZN|BE,7996.33
65,2024-01-01 16:15:00,BZN|BE,8046.98
66,2024-01-01 16:30:00,BZN|BE,8123.32
67,2024-01-01 16:45:00,BZN|BE,8283.06
68,2024-01-01 17:00:00,BZN|BE,8456.61
69,2024-01-01 17:15:00,BZN|BE,8517.41
70,2024-01-01 17:30:00,BZN|BE,8591.99
71,2024-01-01 17:45:00,BZN|BE,8647.26
72,2024-01-01 18:00:00,BZN|BE,8741.94
73,2024-01-01 18:15:00,BZN|BE,8813.11
74,2024-01-01 18:30:00,BZN|BE,8800.02
75,2024-01-01 18:45:00,BZN|BE,8772.98
76,2024-01-01 19:00:00,BZN|BE,8635.37
77,2024-01-01 19:15:00,BZN|BE,8540.77
78,2024-01-01 19:30:00,BZN|BE,8468.65
79,2024-01-01 19:45:00,BZN|BE,8339.39
80,2024-01-01 20:00:00,BZN|BE,8135.64
81,2024-01-01 20:15:00,BZN|BE,8052.93
82,2024-01-01 20:30:00,BZN|BE,8051.66
83,2024-01-01 20:45:00,BZN|BE,7992.84
84,2024-01-01 21:00:00,BZN|BE,7946.29
85,2024-01-01 21:15:00,BZN|BE,7966.59
86,2024-01-01 21:30:00,BZN|BE,7945.22
87,2024-01-01 21:45:00,BZN|BE,7875.95
88,2024-01-01 22:00:00,BZN|BE,8003.15
89,2024-01-01 22:15:00,BZN|BE,8035.16
90,2024-01-01 22:30:00,BZN|BE,7972.8
91,2024-01-01 22:45:00,BZN|BE,7860.91
92,2024-01-01 23:00:00,BZN|BE,7868.74
93,2024-01-01 23:15:00,BZN|BE,7816.64
94,2024-01-01 23:30:00,BZN|BE,7764.24
95,2024-01-01 23:45:00,BZN|BE,7678.03
96,2024-02-01 00:00:00,BZN|BE,7647.49
97,2024-02-01 00:15:00,BZN|BE,7554.18
98,2024-02-01 00:30:00,BZN|BE,7477.87
99,2024-02-01 00:45:00,BZN|BE,7377.21
100,2024-02-01 01:00:00,BZN|BE,7246.12
101,2024-02-01 01:15:00,BZN|BE,7101.06
102,2024-02-01 01:30:00,BZN|BE,7056.46
103,2024-02-01 01:45:00,BZN|BE,6985.17
104,2024-02-01 02:00:00,BZN|BE,6960.59
105,2024-02-01 02:15:00,BZN|BE,6884.12
106,2024-02-01 02:30:00,BZN|BE,6841.6
107,2024-02-01 02:45:00,BZN|BE,6855.19
108,2024-02-01 03:00:00,BZN|BE,6812.08
109,2024-02-01 03:15:00,BZN|BE,6747.27
110,2024-02-01 03:30:00,BZN|BE,6691.79
111,2024-02-01 03:45:00,BZN|BE,6701.68
112,2024-02-01 04:00:00,BZN|BE,6766.01
113,2024-02-01 04:15:00,BZN|BE,6790.5
114,2024-02-01 04:30:00,BZN|BE,6825.45
115,2024-02-01 04:45:00,BZN|BE,6860.85
116,2024-02-01 05:00:00,BZN|BE,7026.9
117,2024-02-01 05:15:00,BZN|BE,7128.08
118,2024-02-01 05:30:00,BZN|BE,7183.18
119,2024-02-01 05:45:00,BZN|BE,7332.39
120,2024-02-01 06:00:00,BZN|BE,7709.66
121,2024-02-01 06:15:00,BZN|BE,7823.78
122,2024-02-01 06:30:00,BZN|BE,7955.22
123,2024-02-01 06:45:00,BZN|BE,8101.15
124,2024-02-01 07:00:00,BZN|BE,8243.94
125,2024-02-01 07:15:00,BZN|BE,8406.18
126,2024-02-01 07:30:00,BZN|BE,8600.13
127,2024-02-01 07:45:00,BZN|BE,8779.94
128,2024-02-01 08:00:00,BZN|BE,8964.4
129,2024-02-01 08:15:00,BZN|BE,9113.42
130,2024-02-01 08:30:00,BZN|BE,9288.19
131,2024-02-01 08:45:00,BZN|BE,9339.31
132,2024-02-01 09:00:00,BZN|BE,9434.9
133,2024-02-01 09:15:00,BZN|BE,9598.67
134,2024-02-01 09:30:00,BZN|BE,9700.12
135,2024-02-01 09:45:00,BZN|BE,9782.81
136,2024-02-01 10:00:00,BZN|BE,9835.9
137,2024-02-01 10:15:00,BZN|BE,9826.29
138,2024-02-01 10:30:00,BZN|BE,9845.04
139,2024-02-01 10:45:00,BZN|BE,9907.2
140,2024-02-01 11:00:00,BZN|BE,9888.22
141,2024-02-01 11:15:00,BZN|BE,9955.0
142,2024-02-01 11:30:00,BZN|BE,10092.22
143,2024-02-01 11:45:00,BZN|BE,10181.06
144,2024-02-01 12:00:00,BZN|BE,10128.29
145,2024-02-01 12:15:00,BZN|BE,10114.64
146,2024-02-01 12:30:00,BZN|BE,10202.17
147,2024-02-01 12:45:00,BZN|BE,10275.57
148,2024-02-01 13:00:00,BZN|BE,10235.03
149,2024-02-01 13:15:00,BZN|BE,10272.62
150,2024-02-01 13:30:00,BZN|BE,10329.87
151,2024-02-01 13:45:00,BZN|BE,10276.37
152,2024-02-01 14:00:00,BZN|BE,10216.95
153,2024-02-01 14:15:00,BZN|BE,10207.05
154,2024-02-01 14:30:00,BZN|BE,10125.8
155,2024-02-01 14:45:00,BZN|BE,10113.12
156,2024-02-01 15:00:00,BZN|BE,10173.52
157,2024-02-01 15:15:00,BZN|BE,10123.53
158,2024-02-01 15:30:00,BZN|BE,10047.35
159,2024-02-01 15:45:00,BZN|BE,9982.86
160,2024-02-01 16:00:00,BZN|BE,9984.93
161,2024-02-01 16:15:00,BZN|BE,9980.36
162,2024-02-01 16:30:00,BZN|BE,10090.48
163,2024-02-01 16:45:00,BZN|BE,10297.41
164,2024-02-01 17:00:00,BZN|BE,10431.1
165,2024-02-01 17:15:00,BZN|BE,10423.63
166,2024-02-01 17:30:00,BZN|BE,10411.7
167,2024-02-01 17:45:00,BZN|BE,10440.34
168,2024-02-01 18:00:00,BZN|BE,10501.11
169,2024-02-01 18:15:00,BZN|BE,10590.38
170,2024-02-01 18:30:00,BZN|BE,10593.33
171,2024-02-01 18:45:00,BZN|BE,10589.08
172,2024-02-01 19:00:00,BZN|BE,10396.02
173,2024-02-01 19:15:00,BZN|BE,10085.77
174,2024-02-01 19:30:00,BZN|BE,10011.86
175,2024-02-01 19:45:00,BZN|BE,9882.78
176,2024-02-01 20:00:00,BZN|BE,9823.82
177,2024-02-01 20:15:00,BZN|BE,9575.14
178,2024-02-01 20:30:00,BZN|BE,9530.55
179,2024-02-01 20:45:00,BZN|BE,9284.08
180,2024-02-01 21:00:00,BZN|BE,9036.39
181,2024-02-01 21:15:00,BZN|BE,9114.13
182,2024-02-01 21:30:00,BZN|BE,8977.6
183,2024-02-01 21:45:00,BZN|BE,8911.03
184,2024-02-01 22:00:00,BZN|BE,8908.2
185,2024-02-01 22:15:00,BZN|BE,8807.31
186,2024-02-01 22:30:00,BZN|BE,8829.46
187,2024-02-01 22:45:00,BZN|BE,8666.21
188,2024-02-01 23:00:00,BZN|BE,8779.75
189,2024-02-01 23:15:00,BZN|BE,8681.36
190,2024-02-01 23:30:00,BZN|BE,8540.34
191,2024-02-01 23:45:00,BZN|BE,8451.91
192,2024-03-01 00:00:00,BZN|BE,8467.57
193,2024-03-01 00:15:00,BZN|BE,8418.47
194,2024-03-01 00:30:00,BZN|BE,8301.88
195,2024-03-01 00:45:00,BZN|BE,8124.14
196,2024-03-01 01:00:00,BZN|BE,8031.15
197,2024-03-01 01:15:00,BZN|BE,7975.96
198,2024-03-01 01:30:00,BZN|BE,7857.95
199,2024-03-01 01:45:00,BZN|BE,7713.0
200,2024-03-01 02:00:00,BZN|BE,7615.05
201,2024-03-01 02:15:00,BZN|BE,7586.83
202,2024-03-01 02:30:00,BZN|BE,7558.5
203,2024-03-01 02:45:00,BZN|BE,7505.33
204,2024-03-01 03:00:00,BZN|BE,7579.62
205,2024-03-01 03:15:00,BZN|BE,7541.26
206,2024-03-01 03:30:00,BZN|BE,7437.65
207,2024-03-01 03:45:00,BZN|BE,7378.55
208,2024-03-01 04:00:00,BZN|BE,7478.88
209,2024-03-01 04:15:00,BZN|BE,7538.69
210,2024-03-01 04:30:00,BZN|BE,7596.35
211,2024-03-01 04:45:00,BZN|BE,7654.87
212,2024-03-01 05:00:00,BZN|BE,7829.2
213,2024-03-01 05:15:00,BZN|BE,7965.56
214,2024-03-01 05:30:00,BZN|BE,7994.94
215,2024-03-01 05:45:00,BZN|BE,8018.99
216,2024-03-01 06:00:00,BZN|BE,8424.09
217,2024-03-01 06:15:00,BZN|BE,8564.99
218,2024-03-01 06:30:00,BZN|BE,8646.65
219,2024-03-01 06:45:00,BZN|BE,8789.7
220,2024-03-01 07:00:00,BZN|BE,8930.96
221,2024-03-01 07:15:00,BZN|BE,9229.61
222,2024-03-01 07:30:00,BZN|BE,9513.88
223,2024-03-01 07:45:00,BZN|BE,9624.33
224,2024-03-01 08:00:00,BZN|BE,9862.89
225,2024-03-01 08:15:00,BZN|BE,10001.76
226,2024-03-01 08:30:00,BZN|BE,9992.06
227,2024-03-01 08:45:00,BZN|BE,10067.81
228,2024-03-01 09:00:00,BZN|BE,10102.87
229,2024-03-01 09:15:00,BZN|BE,10149.09
230,2024-03-01 09:30:00,BZN|BE,10294.54
231,2024-03-01 09:45:00,BZN|BE,10290.32
232,2024-03-01 10:00:00,BZN|BE,10349.76
233,2024-03-01 10:15:00,BZN|BE,10398.72
234,2024-03-01 10:30:00,BZN|BE,10414.8
235,2024-03-01 10:45:00,BZN|BE,10450.54
236,2024-03-01 11:00:00,BZN|BE,10548.17
237,2024-03-01 11:15:00,BZN|BE,10586.47
238,2024-03-01 11:30:00,BZN|BE,10671.22
